"GEO_ID","NAME","B25048_001E","B25048_001M","B25048_002E","B25048_002M","B25048_003E","B25048_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities","Margin of Error!!Total:!!Complete plumbing facilities","Estimate!!Total:!!Lacking complete plumbing facilities","Margin of Error!!Total:!!Lacking complete plumbing facilities",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","445","39","321","37","124","28",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","1473","76","1254","76","219","39",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","1668","106","1425","99","243","57",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","1419","88","1073","79","346","56",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","1283","89","1172","96","111","55",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","1121","112","796","101","325","93",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","2017","94","1575","95","442","72",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","1054","56","738","56","316","47",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","1327","67","979","66","348","41",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","1255","86","1124","98","131","51",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","1129","66","906","77","223","47",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","633","51","611","54","22","13",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","1759","185","1702","188","57","41",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","1078","243","1060","240","18","30",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","1747","177","1719","179","28","31",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","1459","189","1455","189","4","5",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","777","79","767","77","10","9",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","1358","140","1358","140","0","12",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","1529","171","1529","171","0","12",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","1260","129","1238","131","22","20",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","1754","163","1754","163","0","12",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","1989","201","1910","200","79","82",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","1506","136","1495","136","11","14",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","1016","107","1009","106","7","9",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","1475","111","1467","113","8","7",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","1087","147","1067","144","20","31",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","1359","147","1359","147","0","12",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","1433","190","1433","190","0","12",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","916","133","906","134","10","18",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","753","96","737","97","16","15",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","688","103","642","105","46","43",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","1497","137","1453","145","44","50",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","1395","106","1385","108","10","15",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","2408","176","2408","176","0","17",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","608","136","608","136","0","12",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","245","43","245","43","0","12",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","1515","160","1515","160","0","12",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","1535","151","1535","151","0","12",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","2309","204","2309","204","0","17",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","1499","139","1499","139","0","12",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","1911","211","1898","211","13","22",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","1553","117","1553","117","0","12",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","1920","176","1920","176","0","12",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","3866","206","3852","207","14","23",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","2769","157","2769","157","0","17",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","2215","175","2215","175","0","17",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","1814","134","1814","134","0","17",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","2204","211","2154","205","50","62",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","1397","82","1397","82","0","12",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","1690","111","1683","110","7","11",
