GEO_ID,NAME,B25001_001E,B25001_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US04001942600,"Census Tract 9426, Apache County, Arizona",648,32
1400000US04001942700,"Census Tract 9427, Apache County, Arizona",2347,57
1400000US04001944000,"Census Tract 9440, Apache County, Arizona",2353,87
1400000US04001944100,"Census Tract 9441, Apache County, Arizona",2497,60
1400000US04001944201,"Census Tract 9442.01, Apache County, Arizona",1531,70
1400000US04001944202,"Census Tract 9442.02, Apache County, Arizona",1452,92
1400000US04001944300,"Census Tract 9443, Apache County, Arizona",2880,90
1400000US04001944901,"Census Tract 9449.01, Apache County, Arizona",1803,50
1400000US04001944902,"Census Tract 9449.02, Apache County, Arizona",2177,55
1400000US04001945001,"Census Tract 9450.01, Apache County, Arizona",1797,53
1400000US04001945002,"Census Tract 9450.02, Apache County, Arizona",1690,54
1400000US04001945100,"Census Tract 9451, Apache County, Arizona",804,34
1400000US04001970200,"Census Tract 9702, Apache County, Arizona",3118,185
1400000US04001970300,"Census Tract 9703, Apache County, Arizona",1551,291
1400000US04001970501,"Census Tract 9705.01, Apache County, Arizona",2261,178
1400000US04001970502,"Census Tract 9705.02, Apache County, Arizona",3982,172
1400000US04003000100,"Census Tract 1, Cochise County, Arizona",1265,76
1400000US04003000201,"Census Tract 2.01, Cochise County, Arizona",1722,107
1400000US04003000202,"Census Tract 2.02, Cochise County, Arizona",2029,168
1400000US04003000203,"Census Tract 2.03, Cochise County, Arizona",1800,100
1400000US04003000301,"Census Tract 3.01, Cochise County, Arizona",2184,190
1400000US04003000302,"Census Tract 3.02, Cochise County, Arizona",2538,160
1400000US04003000303,"Census Tract 3.03, Cochise County, Arizona",1668,117
1400000US04003000400,"Census Tract 4, Cochise County, Arizona",1446,58
1400000US04003000500,"Census Tract 5, Cochise County, Arizona",2052,96
1400000US04003000600,"Census Tract 6, Cochise County, Arizona",1439,76
1400000US04003000700,"Census Tract 7, Cochise County, Arizona",1524,145
1400000US04003000800,"Census Tract 8, Cochise County, Arizona",1678,189
1400000US04003000901,"Census Tract 9.01, Cochise County, Arizona",1241,123
1400000US04003000902,"Census Tract 9.02, Cochise County, Arizona",1044,99
1400000US04003001000,"Census Tract 10, Cochise County, Arizona",1208,82
1400000US04003001100,"Census Tract 11, Cochise County, Arizona",2035,122
1400000US04003001200,"Census Tract 12, Cochise County, Arizona",1582,97
1400000US04003001300,"Census Tract 13, Cochise County, Arizona",2805,137
1400000US04003001401,"Census Tract 14.01, Cochise County, Arizona",646,137
1400000US04003001402,"Census Tract 14.02, Cochise County, Arizona",255,43
1400000US04003001501,"Census Tract 15.01, Cochise County, Arizona",1855,173
1400000US04003001502,"Census Tract 15.02, Cochise County, Arizona",1879,110
1400000US04003001601,"Census Tract 16.01, Cochise County, Arizona",2481,163
1400000US04003001602,"Census Tract 16.02, Cochise County, Arizona",1799,100
1400000US04003001701,"Census Tract 17.01, Cochise County, Arizona",2480,158
1400000US04003001702,"Census Tract 17.02, Cochise County, Arizona",1711,67
1400000US04003001703,"Census Tract 17.03, Cochise County, Arizona",2296,116
1400000US04003001800,"Census Tract 18, Cochise County, Arizona",4323,166
1400000US04003001900,"Census Tract 19, Cochise County, Arizona",3058,78
1400000US04003002001,"Census Tract 20.01, Cochise County, Arizona",2460,126
1400000US04003002002,"Census Tract 20.02, Cochise County, Arizona",2043,86
1400000US04003002100,"Census Tract 21, Cochise County, Arizona",2562,192
1400000US04005000100,"Census Tract 1, Coconino County, Arizona",1481,72
1400000US04005000200,"Census Tract 2, Coconino County, Arizona",1858,89
1400000US04005000300,"Census Tract 3, Coconino County, Arizona",2564,146
1400000US04005000400,"Census Tract 4, Coconino County, Arizona",1940,112
1400000US04005000500,"Census Tract 5, Coconino County, Arizona",1890,92
1400000US04005000600,"Census Tract 6, Coconino County, Arizona",3194,125
1400000US04005000700,"Census Tract 7, Coconino County, Arizona",1902,109
1400000US04005000800,"Census Tract 8, Coconino County, Arizona",2339,177
1400000US04005000900,"Census Tract 9, Coconino County, Arizona",3505,150
1400000US04005001000,"Census Tract 10, Coconino County, Arizona",511,74
1400000US04005001101,"Census Tract 11.01, Coconino County, Arizona",2222,100
1400000US04005001102,"Census Tract 11.02, Coconino County, Arizona",3634,197
1400000US04005001200,"Census Tract 12, Coconino County, Arizona",1449,83
1400000US04005001301,"Census Tract 13.01, Coconino County, Arizona",2054,109
1400000US04005001302,"Census Tract 13.02, Coconino County, Arizona",2248,164
1400000US04005001500,"Census Tract 15, Coconino County, Arizona",7805,172
1400000US04005001600,"Census Tract 16, Coconino County, Arizona",2603,162
1400000US04005001700,"Census Tract 17, Coconino County, Arizona",1947,155
1400000US04005002000,"Census Tract 20, Coconino County, Arizona",1193,78
1400000US04005002100,"Census Tract 21, Coconino County, Arizona",2826,310
1400000US04005002200,"Census Tract 22, Coconino County, Arizona",4475,288
1400000US04005002300,"Census Tract 23, Coconino County, Arizona",4148,193
1400000US04005942201,"Census Tract 9422.01, Coconino County, Arizona",1360,67
1400000US04005942202,"Census Tract 9422.02, Coconino County, Arizona",1255,63
1400000US04005944900,"Census Tract 9449, Coconino County, Arizona",1522,83
1400000US04005945000,"Census Tract 9450, Coconino County, Arizona",1464,91
1400000US04005945100,"Census Tract 9451, Coconino County, Arizona",1361,72
1400000US04005945200,"Census Tract 9452, Coconino County, Arizona",1336,102
1400000US04007000100,"Census Tract 1, Gila County, Arizona",3962,183
1400000US04007000200,"Census Tract 2, Gila County, Arizona",3132,128
1400000US04007000301,"Census Tract 3.01, Gila County, Arizona",3023,204
1400000US04007000302,"Census Tract 3.02, Gila County, Arizona",1759,112
1400000US04007000400,"Census Tract 4, Gila County, Arizona",3319,164
1400000US04007000500,"Census Tract 5, Gila County, Arizona",2946,183
1400000US04007000600,"Census Tract 6, Gila County, Arizona",1277,106
1400000US04007000700,"Census Tract 7, Gila County, Arizona",1593,106
1400000US04007000800,"Census Tract 8, Gila County, Arizona",989,106
1400000US04007000900,"Census Tract 9, Gila County, Arizona",1513,101
1400000US04007001000,"Census Tract 10, Gila County, Arizona",2623,153
1400000US04007001100,"Census Tract 11, Gila County, Arizona",2275,225
1400000US04007001200,"Census Tract 12, Gila County, Arizona",2261,134
1400000US04007001300,"Census Tract 13, Gila County, Arizona",642,58
1400000US04007940200,"Census Tract 9402, Gila County, Arizona",594,59
1400000US04007940400,"Census Tract 9404, Gila County, Arizona",1634,139
1400000US04009940500,"Census Tract 9405, Graham County, Arizona",1208,99
1400000US04009961100,"Census Tract 9611, Graham County, Arizona",1776,154
1400000US04009961201,"Census Tract 9612.01, Graham County, Arizona",1204,116
1400000US04009961202,"Census Tract 9612.02, Graham County, Arizona",1532,123
1400000US04009961300,"Census Tract 9613, Graham County, Arizona",1499,118
1400000US04009961400,"Census Tract 9614, Graham County, Arizona",2014,163
1400000US04009961500,"Census Tract 9615, Graham County, Arizona",1933,138
1400000US04009961600,"Census Tract 9616, Graham County, Arizona",592,49
1400000US04009961700,"Census Tract 9617, Graham County, Arizona",1828,106
1400000US04011960100,"Census Tract 9601, Greenlee County, Arizona",1376,98
