"GEO_ID","NAME","B19301_001E","B19301_001M",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US04001942600","Census Tract 9426, Apache County, Arizona","10860","1623",
"1400000US04001942700","Census Tract 9427, Apache County, Arizona","12802","1002",
"1400000US04001944000","Census Tract 9440, Apache County, Arizona","16641","2693",
"1400000US04001944100","Census Tract 9441, Apache County, Arizona","9660","841",
"1400000US04001944201","Census Tract 9442.01, Apache County, Arizona","11811","1932",
"1400000US04001944202","Census Tract 9442.02, Apache County, Arizona","11715","2142",
"1400000US04001944300","Census Tract 9443, Apache County, Arizona","11918","1076",
"1400000US04001944901","Census Tract 9449.01, Apache County, Arizona","11469","1221",
"1400000US04001944902","Census Tract 9449.02, Apache County, Arizona","11211","931",
"1400000US04001945001","Census Tract 9450.01, Apache County, Arizona","15861","1663",
"1400000US04001945002","Census Tract 9450.02, Apache County, Arizona","13852","1709",
"1400000US04001945100","Census Tract 9451, Apache County, Arizona","11512","1535",
"1400000US04001970200","Census Tract 9702, Apache County, Arizona","23149","2764",
"1400000US04001970300","Census Tract 9703, Apache County, Arizona","17152","2852",
"1400000US04001970501","Census Tract 9705.01, Apache County, Arizona","22129","2646",
"1400000US04001970502","Census Tract 9705.02, Apache County, Arizona","29364","3981",
"1400000US04003000100","Census Tract 1, Cochise County, Arizona","20409","2066",
"1400000US04003000201","Census Tract 2.01, Cochise County, Arizona","23673","4253",
"1400000US04003000202","Census Tract 2.02, Cochise County, Arizona","18742","3218",
"1400000US04003000203","Census Tract 2.03, Cochise County, Arizona","24324","3458",
"1400000US04003000301","Census Tract 3.01, Cochise County, Arizona","18692","2197",
"1400000US04003000302","Census Tract 3.02, Cochise County, Arizona","36145","6162",
"1400000US04003000303","Census Tract 3.03, Cochise County, Arizona","26238","3126",
"1400000US04003000400","Census Tract 4, Cochise County, Arizona","24058","2477",
"1400000US04003000500","Census Tract 5, Cochise County, Arizona","22016","1805",
"1400000US04003000600","Census Tract 6, Cochise County, Arizona","21483","5577",
"1400000US04003000700","Census Tract 7, Cochise County, Arizona","16401","1764",
"1400000US04003000800","Census Tract 8, Cochise County, Arizona","19824","4047",
"1400000US04003000901","Census Tract 9.01, Cochise County, Arizona","12878","2098",
"1400000US04003000902","Census Tract 9.02, Cochise County, Arizona","12171","2241",
"1400000US04003001000","Census Tract 10, Cochise County, Arizona","28538","4627",
"1400000US04003001100","Census Tract 11, Cochise County, Arizona","19718","2879",
"1400000US04003001200","Census Tract 12, Cochise County, Arizona","21630","1777",
"1400000US04003001300","Census Tract 13, Cochise County, Arizona","23926","2833",
"1400000US04003001401","Census Tract 14.01, Cochise County, Arizona","24558","2703",
"1400000US04003001402","Census Tract 14.02, Cochise County, Arizona","27369","4052",
"1400000US04003001501","Census Tract 15.01, Cochise County, Arizona","26266","3453",
"1400000US04003001502","Census Tract 15.02, Cochise County, Arizona","25109","8622",
"1400000US04003001601","Census Tract 16.01, Cochise County, Arizona","28814","7095",
"1400000US04003001602","Census Tract 16.02, Cochise County, Arizona","25911","2932",
"1400000US04003001701","Census Tract 17.01, Cochise County, Arizona","25285","4127",
"1400000US04003001702","Census Tract 17.02, Cochise County, Arizona","27637","3889",
"1400000US04003001703","Census Tract 17.03, Cochise County, Arizona","38120","6804",
"1400000US04003001800","Census Tract 18, Cochise County, Arizona","39808","3065",
"1400000US04003001900","Census Tract 19, Cochise County, Arizona","43115","5021",
"1400000US04003002001","Census Tract 20.01, Cochise County, Arizona","22187","3344",
"1400000US04003002002","Census Tract 20.02, Cochise County, Arizona","26591","2937",
"1400000US04003002100","Census Tract 21, Cochise County, Arizona","40526","7038",
"1400000US04005000100","Census Tract 1, Coconino County, Arizona","47341","4693",
"1400000US04005000200","Census Tract 2, Coconino County, Arizona","43584","5184",
"1400000US04005000300","Census Tract 3, Coconino County, Arizona","22658","3057",
"1400000US04005000400","Census Tract 4, Coconino County, Arizona","29440","2887",
"1400000US04005000500","Census Tract 5, Coconino County, Arizona","26395","2746",
"1400000US04005000600","Census Tract 6, Coconino County, Arizona","41244","6489",
"1400000US04005000700","Census Tract 7, Coconino County, Arizona","34223","4283",
"1400000US04005000800","Census Tract 8, Coconino County, Arizona","17130","1836",
"1400000US04005000900","Census Tract 9, Coconino County, Arizona","40778","6999",
"1400000US04005001000","Census Tract 10, Coconino County, Arizona","4628","344",
"1400000US04005001101","Census Tract 11.01, Coconino County, Arizona","34718","5192",
"1400000US04005001102","Census Tract 11.02, Coconino County, Arizona","25651","3157",
"1400000US04005001200","Census Tract 12, Coconino County, Arizona","39180","6155",
"1400000US04005001301","Census Tract 13.01, Coconino County, Arizona","35403","4220",
"1400000US04005001302","Census Tract 13.02, Coconino County, Arizona","32996","5099",
"1400000US04005001500","Census Tract 15, Coconino County, Arizona","39309","5299",
"1400000US04005001600","Census Tract 16, Coconino County, Arizona","50902","12258",
"1400000US04005001700","Census Tract 17, Coconino County, Arizona","25171","3053",
"1400000US04005002000","Census Tract 20, Coconino County, Arizona","32281","4709",
"1400000US04005002100","Census Tract 21, Coconino County, Arizona","22595","3471",
"1400000US04005002200","Census Tract 22, Coconino County, Arizona","47928","10192",
"1400000US04005002300","Census Tract 23, Coconino County, Arizona","32280","3717",
"1400000US04005942201","Census Tract 9422.01, Coconino County, Arizona","15875","1306",
"1400000US04005942202","Census Tract 9422.02, Coconino County, Arizona","12964","1189",
